"year","global resource (kg)","global production excl. US [first estimate] (kg)","global production excl. US [latest estimate] (kg)","global reserves (kg)"
2019, 2.50e6,        ,       , 6.90e6
2018, 2.50e6,  1.40e5,       , 7.10e6 
2017, 2.50e6,  1.10e6, 1.20e6, 7.00e6
2016, 2.50e6,  1.11e6, 1.23e6, 7.10e6
2015, 2.50e6,  1.26e6, 1.24e6, 7.20e6
